блуза;Блузы, джемпера
бриджи;Брюки
брюки;Брюки
верхняя одежда;Верхняя одежда
джинсы;Джинсы
жакет;Верхняя одежда
кардиган;Блузы, джемпера
колготы;Брюки
комбинезон;Комбинезоны
комплект;Блузы, джемпера
лосины;Брюки
майка;Платья, сарафаны
пальто;Верхняя одежда
платье;Платья, сарафаны
пончо;Верхняя одежда
сарафан;Платья, сарафаны
свитер;Блузы, джемпера
туника;Туники
шорты;Брюки
юбка;Юбки
